periode,jumlah_hotspot,fitted,forecast,batas_bawah,batas_atas,tipe
2020-01,497.0,0.0,,,,historis
2020-02,729.0,566.0,,,,historis
2020-03,1140.0,789.0,,,,historis
2020-04,794.0,1234.0,,,,historis
2020-05,293.0,747.0,,,,historis
2020-06,211.0,185.0,,,,historis
2020-07,260.0,171.0,,,,historis
2020-08,465.0,261.0,,,,historis
2020-09,287.0,505.0,,,,historis
2020-10,250.0,261.0,,,,historis
2020-11,133.0,237.0,,,,historis
2020-12,115.0,107.0,,,,historis
2021-01,88.0,440.0,,,,historis
2021-02,597.0,224.0,,,,historis
2021-03,639.0,1075.0,,,,historis
2021-04,411.0,394.0,,,,historis
2021-05,278.0,-33.0,,,,historis
2021-06,355.0,109.0,,,,historis
2021-07,775.0,271.0,,,,historis
2021-08,451.0,710.0,,,,historis
2021-09,440.0,286.0,,,,historis
2021-10,501.0,337.0,,,,historis
2021-11,230.0,288.0,,,,historis
2021-12,170.0,194.0,,,,historis
2022-01,280.0,177.0,,,,historis
2022-02,196.0,706.0,,,,historis
2022-03,598.0,619.0,,,,historis
2022-04,269.0,434.0,,,,historis
2022-05,376.0,110.0,,,,historis
2022-06,239.0,313.0,,,,historis
2022-07,475.0,504.0,,,,historis
2022-08,588.0,391.0,,,,historis
2022-09,265.0,419.0,,,,historis
2022-10,59.0,322.0,,,,historis
2022-11,96.0,4.0,,,,historis
2022-12,53.0,67.0,,,,historis
2023-01,95.0,126.0,,,,historis
2023-02,126.0,297.0,,,,historis
2023-03,281.0,518.0,,,,historis
2023-04,492.0,148.0,,,,historis
2023-05,504.0,306.0,,,,historis
2023-06,573.0,298.0,,,,historis
2023-07,534.0,626.0,,,,historis
2023-08,938.0,490.0,,,,historis
2023-09,554.0,490.0,,,,historis
2023-10,451.0,324.0,,,,historis
2023-11,764.0,239.0,,,,historis
2023-12,290.0,389.0,,,,historis
2024-01,163.0,258.0,,,,historis
2024-02,293.0,274.0,,,,historis
2024-03,611.0,525.0,,,,historis
2024-04,570.0,513.0,,,,historis
2024-05,352.0,497.0,,,,historis
2024-06,201.0,408.0,,,,historis
2024-07,1206.0,450.0,,,,historis
2024-08,1021.0,1053.0,,,,historis
2024-09,1137.0,596.0,,,,historis
2024-10,1012.0,685.0,,,,historis
2024-11,142.0,802.0,,,,historis
2024-12,146.0,115.0,,,,historis
2025-01,47.0,189.0,,,,historis
2025-02,237.0,267.0,,,,historis
2025-03,175.0,571.0,,,,historis
2025-04,215.0,388.0,,,,historis
2025-05,336.0,297.0,,,,historis
2025-06,637.0,328.0,,,,historis
2025-07,1794.0,1026.0,,,,historis
2025-08,1089.0,1335.0,,,,historis
2025-09,639.0,920.0,,,,historis
2025-10,433.0,653.0,,,,historis
2025-11,233.0,261.0,,,,historis
2025-12,66.0,180.0,,,,historis
2026-01,346.0,,,,,historis
2026-02,435.0,,,,,historis
2026-03,1122.0,,,,,historis
2026-04,425.0,,,,,historis
2026-05,359.0,,,,,historis
2026-06,90.0,,,,,historis
2026-07,,,1391.0,771.0,2012.0,forecast
2026-08,,,1054.0,433.0,1674.0,forecast
2026-09,,,797.0,177.0,1418.0,forecast
2026-10,,,639.0,18.0,1259.0,forecast
2026-11,,,332.0,-289.0,952.0,forecast
2026-12,,,186.0,-434.0,807.0,forecast
2027-01,,,162.0,-523.0,847.0,forecast
2027-02,,,334.0,-365.0,1033.0,forecast
2027-03,,,446.0,-257.0,1149.0,forecast
2027-04,,,455.0,-249.0,1159.0,forecast
2027-05,,,456.0,-248.0,1161.0,forecast
2027-06,,,572.0,-132.0,1277.0,forecast
